state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"mo",1996,65.88694,81.23772,28,0,82.67,0,1
"mo",2000,73.21429,83.49207,28,0,86.94,0,1
"mt",1972,76.97369,81.9079,30,0,64.94,0,1
"mt",1980,71.18035,78.3474,30,0,75.86,0,1
"mt",1984,75.03497,82.70995,30,0,81.62,0,1
"mt",1988,70.82133,77.80204,30,0,82.62,0,1
"mt",1992,75.36232,80.78889,30,0,86.2,0,1
"mt",1996,71.70111,80.04788,30,0,85.28,0,1
"mt",2000,68.97718,77.74936,30,0,87.89,0,1
"ne",1972,66.56299,78.78315,11,0,66.98,0,1
"ne",1980,67.18076,76.27647,11,0,75.49,0,1
"ne",1984,66.45817,75.61168,11,0,81.51,0,1
"ne",1988,67.0229,75,11,0,83.15,0,1
"ne",1992,69.92908,77.25968,11,0,86.64,0,1
"ne",1996,64.24915,77.54927,11,0,85.35,0,1
"ne",2000,66.00897,80.54298,11,0,88.47,0,1
"nv",1972,56.19835,64.16666,31,0,73.55,0,1
"nv",1980,55.01941,60.95506,31,0,77.97,0,1
"nv",1984,53.54906,59.51374,30,0,80.42,0,1
"nv",1988,52.72353,60.91476,30,0,83.07,0,1
"nv",1992,66.42183,72.76596,30,0,84.1,0,1
"nv",1996,56.67034,70.07787,30,0,83.46,0,1
"nv",2000,58.75764,66.63223,30,0,86.09,0,1
"nh",1972,69.11315,76.16099,10,0,67.87,0,1
"nh",1980,70.88782,77.87794,10,0,77.98,0,1
"nh",1984,63.76652,73.96184,10,0,80.04,0,1
"nh",1988,62.06897,70.94379,10,0,84.02,0,1
"nh",1992,70.95959,76.86375,10,0,85.45,0,1
"nh",1996,63.7931,75.75406,0,1,88.22,0,1
"nh",2000,71.20482,78.78049,0,1,87.85,0,1
"nj",1972,73.29337,80.19469,40,0,62.45,0,1
"nj",1980,67.68622,76.66666,29,0,72.13,0,1
"nj",1984,69.44615,78.44801,29,0,77.08,0,1
"nj",1988,67.9815,76.38477,29,0,79.83,0,1
"nj",1992,73.22515,80.59396,29,0,82.83,0,1
"nj",1996,67.5244,78.34081,29,0,85.24,0,1
"nj",2000,70.81784,81.1179,29,0,85.96,0,1
"nm",1972,64.7929,76.41791,30,0,58.25,0,1
"nm",1980,63.29342,71.85051,42,0,70.49,0,1
"nm",1984,65.74899,73.89526,42,0,73.74,0,1
"nm",1988,60.88435,71.09777,28,0,76.62,0,1
"nm",1992,67.36111,73.42799,28,0,81.01,0,1
"nm",1996,58.03196,69.88974,28,0,78.07,0,1
"nm",2000,60.19231,69.91237,28,0,81.19,0,1
"ny",1972,71.72657,77.96249,30,0,62.89,0,1
"ny",1980,63.94948,70.04654,30,0,71.48,0,1
"ny",1984,67.82609,74.91982,30,0,73.97,0,1
"ny",1988,64.83489,72.63184,30,0,77.46,0,1
"ny",1992,70.23829,77.02058,25,0,82.29,0,1
"ny",1996,65.35362,78.24116,25,0,80.5,0,1
"ny",2000,68.29441,79.30535,25,0,82.88,0,1
"nc",1972,51.08011,66.17982,29,0,50.48,1,0
"nc",1980,55.50216,64.69437,29,0,60.93,1,0
"nc",1984,59.16061,69.29681,29,0,63.96,1,0
"nc",1988,56.55623,68.90636,29,0,70.72,1,0
"nc",1992,64.71576,74.40098,29,0,76.3,1,0
"nc",1996,60.81844,76.84612,25,0,78.21,1,0
"nc",2000,63.30275,78.39793,25,0,80.23,1,0
"nd",1972,74.75247,90.40404,0,1,66.97,0,1
"nd",1980,76.05089,96.20324,0,1,73.06,0,1
"nd",1984,75.29326,95.00368,0,1,76.35,0,1
"nd",1988,76.66906,98.67647,0,1,81.06,0,1
"nd",1992,73.92966,95.27132,0,1,80.71,0,1
"nd",1996,68.51026,92.58929,0,1,84.76,0,1
"nd",2000,73.99464,94.98208,0,1,87.88,0,1
"oh",1972,68.0538,76.01772,30,0,64.99,0,1
"oh",1980,64.48022,71.06647,30,0,71.64,0,1
"oh",1984,66.5313,74.54062,30,0,75.31,0,1
"oh",1988,66.67416,74.75484,30,0,78.17,0,1
"oh",1992,71.13941,76.77419,30,0,82.35,0,1
"oh",1996,65.01901,75.4386,30,0,84.09,0,1
"oh",2000,66.03582,75.94678,30,0,85.83,0,1
"ok",1972,68.41066,78.55015,10,0,62.26,0,1
"ok",1980,64.21349,71.51756,10,0,71.91,0,1
"ok",1984,63.7633,75.01679,10,0,74.87,0,1
"ok",1988,59.59933,70,10,0,79.95,0,1
